suite,task_id,name,language,bddl_file
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,pick up the black bowl between the plate and the ramekin and place it on the plate,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,pick up the black bowl next to the ramekin and place it on the plate,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,pick up the black bowl from table center and place it on the plate,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.bddl
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl on the cookie box and place it on the plate,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pick up the black bowl on the ramekin and place it on the plate,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.bddl
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl next to the cookie box and place it on the plate,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,pick up the black bowl on the stove and place it on the plate,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.bddl
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,pick up the black bowl next to the plate and place it on the plate,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl on the wooden cabinet and place it on the plate,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.bddl
libero_object,0,pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick up the alphabet soup and place it in the basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket.bddl
libero_object,1,pick_up_the_cream_cheese_and_place_it_in_the_basket,pick up the cream cheese and place it in the basket,pick_up_the_cream_cheese_and_place_it_in_the_basket.bddl
libero_object,2,pick_up_the_salad_dressing_and_place_it_in_the_basket,pick up the salad dressing and place it in the basket,pick_up_the_salad_dressing_and_place_it_in_the_basket.bddl
libero_object,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick up the bbq sauce and place it in the basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket.bddl
libero_object,4,pick_up_the_ketchup_and_place_it_in_the_basket,pick up the ketchup and place it in the basket,pick_up_the_ketchup_and_place_it_in_the_basket.bddl
libero_object,5,pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick up the tomato sauce and place it in the basket,pick_up_the_tomato_sauce_and_place_it_in_the_basket.bddl
libero_object,6,pick_up_the_butter_and_place_it_in_the_basket,pick up the butter and place it in the basket,pick_up_the_butter_and_place_it_in_the_basket.bddl
libero_object,7,pick_up_the_milk_and_place_it_in_the_basket,pick up the milk and place it in the basket,pick_up_the_milk_and_place_it_in_the_basket.bddl
libero_object,8,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,pick up the chocolate pudding and place it in the basket,pick_up_the_chocolate_pudding_and_place_it_in_the_basket.bddl
libero_object,9,pick_up_the_orange_juice_and_place_it_in_the_basket,pick up the orange juice and place it in the basket,pick_up_the_orange_juice_and_place_it_in_the_basket.bddl
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,open_the_middle_drawer_of_the_cabinet.bddl
libero_goal,1,put_the_bowl_on_the_stove,put the bowl on the stove,put_the_bowl_on_the_stove.bddl
libero_goal,2,put_the_wine_bottle_on_top_of_the_cabinet,put the wine bottle on top of the cabinet,put_the_wine_bottle_on_top_of_the_cabinet.bddl
libero_goal,3,open_the_top_drawer_and_put_the_bowl_inside,open the top drawer and put the bowl inside,open_the_top_drawer_and_put_the_bowl_inside.bddl
libero_goal,4,put_the_bowl_on_top_of_the_cabinet,put the bowl on top of the cabinet,put_the_bowl_on_top_of_the_cabinet.bddl
libero_goal,5,push_the_plate_to_the_front_of_the_stove,push the plate to the front of the stove,push_the_plate_to_the_front_of_the_stove.bddl
libero_goal,6,put_the_cream_cheese_in_the_bowl,put the cream cheese in the bowl,put_the_cream_cheese_in_the_bowl.bddl
libero_goal,7,turn_on_the_stove,turn on the stove,turn_on_the_stove.bddl
libero_goal,8,put_the_bowl_on_the_plate,put the bowl on the plate,put_the_bowl_on_the_plate.bddl
libero_goal,9,put_the_wine_bottle_on_the_rack,put the wine bottle on the rack,put_the_wine_bottle_on_the_rack.bddl
libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl
libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,put both the cream cheese box and the butter in the basket,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl
libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,turn on the stove and put the moka pot on it,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl
libero_10,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,put the black bowl in the bottom drawer of the cabinet and close it,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl
libero_10,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,put the white mug on the left plate and put the yellow and white mug on the right plate,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl
libero_10,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,pick up the book and place it in the back compartment of the caddy,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl
libero_10,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,put the white mug on the plate and put the chocolate pudding to the right of the plate,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl
libero_10,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,put both the alphabet soup and the cream cheese box in the basket,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl
libero_10,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,put both moka pots on the stove,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl
libero_10,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,put the yellow and white mug in the microwave and close it,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl
